Year,Month,STRATEGY_ID,Country,ISO3,Area,LIVE_EXP,LIVE_DEC,NEW_GROWTH,MVMT_MEMBER,MVMT_LEADER,NEW_STAFF,FT_LABORER
2010,1,CAMPUS,Angola,AGO,Francophon,7,6,1,5,0,0,0
2010,2,CAMPUS,Angola,AGO,Francophon,9,7,2,1,0,0,0
2010,3,CAMPUS,Angola,AGO,Francophon,6,5,1,0,0,0,0
2010,1,COMMUNITY,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,2,COMMUNITY,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,3,COMMUNITY,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,1,COVERAGE,Angola,AGO,Francophon,2543,800,4,0,0,0,0
2010,2,COVERAGE,Angola,AGO,Francophon,3400,1100,5,0,0,0,0
2010,3,COVERAGE,Angola,AGO,Francophon,800,230,2,0,0,0,0
2010,1,INTERNET,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,2,INTERNET,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,3,INTERNET,Angola,AGO,Francophon,0,0,0,0,0,0,0
2010,1,CAMPUS,Albania,ALB,E.Eu.,176,22,25,19,5,14,0
2010,2,CAMPUS,Albania,ALB,E.Eu.,88,8,4,4,4,8,3
2010,4,CAMPUS,Albania,ALB,E.Eu.,797,53,37,30,6,0,0
2010,5,CAMPUS,Albania,ALB,E.Eu.,223,25,27,19,8,0,12
2010,6,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2010,7,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2010,8,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2010,9,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2010,10,CAMPUS,Albania,ALB,E.Eu.,394,45,12,18,0,6,0
2010,11,CAMPUS,Albania,ALB,E.Eu.,551,74,35,17,10,0,0
2010,12,CAMPUS,Albania,ALB,E.Eu.,972,126,27,44,3,0,0
2011,1,CAMPUS,Albania,ALB,E.Eu.,184,34,20,19,4,0,0
2011,2,CAMPUS,Albania,ALB,E.Eu.,102,22,8,17,10,0,0
2011,3,CAMPUS,Albania,ALB,E.Eu.,916,100,25,30,14,0,0
2011,4,CAMPUS,Albania,ALB,E.Eu.,348,38,52,23,14,0,0
2011,5,CAMPUS,Albania,ALB,E.Eu.,181,30,27,36,11,0,0
2011,6,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,7,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,8,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,9,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,10,CAMPUS,Albania,ALB,E.Eu.,605,119,3,19,0,3,0
2011,11,CAMPUS,Albania,ALB,E.Eu.,740,61,54,21,0,0,0
2011,12,CAMPUS,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,2,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,3,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,4,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,5,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,10,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2011,11,COMMUNITY,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
2010,1,COVERAGE,Albania,ALB,E.Eu.,3723,120,0,0,0,0,0
2010,2,COVERAGE,Albania,ALB,E.Eu.,0,0,0,0,0,0,0
